Date,Description,Amount,Type
01/01/2024,SALARY CREDIT - ABC COMPANY,75000,Credit
02/01/2024,ATM WITHDRAWAL,5000,Debit
05/01/2024,INDIAN OIL PETROL PUMP,2500,Debit
07/01/2024,BIGBASKET GROCERY SHOPPING,4500,Debit
10/01/2024,ELECTRICITY BILL - BESCOM,1800,Debit
12/01/2024,ZOMATO FOOD DELIVERY,850,Debit
15/01/2024,RENT PAYMENT - LANDLORD,25000,Debit
18/01/2024,AMAZON SHOPPING,3200,Debit
20/01/2024,LIC PREMIUM PAYMENT,5000,Debit
22/01/2024,APOLLO PHARMACY,1200,Debit
25/01/2024,UBER CAB CHARGES,450,Debit
28/01/2024,AIRTEL MOBILE RECHARGE,599,Debit
30/01/2024,MUTUAL FUND SIP,10000,Debit
01/02/2024,SALARY CREDIT - ABC COMPANY,75000,Credit
03/02/2024,HP PETROL PUMP,2800,Debit
05/02/2024,RELIANCE FRESH GROCERY,3500,Debit
08/02/2024,ELECTRICITY BILL - BESCOM,2100,Debit
12/02/2024,SWIGGY FOOD ORDER,1200,Debit
15/02/2024,RENT PAYMENT - LANDLORD,25000,Debit
18/02/2024,FLIPKART SHOPPING,5600,Debit
20/02/2024,MAX LIFE INSURANCE,4500,Debit
22/02/2024,FORTIS HOSPITAL,15000,Debit
25/02/2024,OLA CAB CHARGES,680,Debit
28/02/2024,JIO FIBER BILL,999,Debit
